Kolonnenummer;TekniskNavn;EgetNavn
1;Dato1;
2;Dato2;
3;Dato3;
4;Dato4;
5;Dato5;
6;Klokkeslæt1;
7;Klokkeslæt2;
8;CPR;
9;Tekst1;
10;Tekst2;
11;Tekst3;
12;Tekst4;
13;Tekst5;
14;Tekst6;
15;Tekst7;
16;Tekst8;
17;Tekst9;
18;Tekst10;
19;Tekst11;
20;Tekst12;
21;Tekst13;
22;Tekst14;
23;Tekst15;
24;Tekst16;
25;Tekst17;
26;Tekst18;
27;Tekst19;
28;Tekst20;
29;Tekst21;
30;Tekst22;
31;Tekst23;
32;Tekst24;
33;Tekst25;
34;Tekst26;
35;Tekst27;
36;Tekst28;
37;Tekst29;
38;Tekst30;
39;Numerisk1;
40;Numerisk2;
41;Numerisk3;
42;Numerisk4;
43;Numerisk5;
44;Numerisk6;
45;Numerisk7;
46;Numerisk8;
47;Numerisk9;
48;Numerisk10;
49;Numerisk11;
50;Numerisk12;
51;Numerisk13;
52;Numerisk14;
53;Numerisk15;
